entry_date,exit_date,ticker,company_name,asset_type,exchange,entry_price,exit_price,cash_amount,shares,entry_cash,exit_cash,dividend_cash,pnl,trade_return_pct,holding_days,event_yield_real_pct,event_expected_tae_pct,recovery_rate_pct,median_recovery_days,capture_score,capture_cluster,entry_ts,exit_ts,rank_by,capital_after_close,capital_after
2025-03-11,2025-03-12,NVDA,NVIDIA CORP,Stock,Nasdaq,108.76000213623048,115.73999786376952,0.01,6.764765926924059,735.7359566633598,783.0216415903607,0.06764765926924059,47.28568492700083,6.426991164254958,1.0,0.009194556641764507,3.3560131742440458,100.0,1.0,89.65100759577003,Rapido defensivo,2025-03-11,2025-03-12,capture_score,783.0216415903607,783.0216415903607
2025-03-11,2025-03-14,NWSA,NEWS CORP,Stock,Nasdaq,26.940000534057617,26.979999542236328,0.1,27.310168599783083,735.7359566633598,739.5593531805229,2.7310168599783085,3.823396517163019,0.5196696562857313,3.0,0.3711952413422552,67.74313154496157,100.0,2.0,89.64158476761014,Rapido y rentable,2025-03-11,2025-03-14,capture_score,739.5593531805229,739.5593531805229
2025-03-12,2025-03-17,CCOI,"COGENT COMMUNICATIONS HOLDINGS, INC.",Stock,Nasdaq,69.94000244140625,70.91000366210938,1.005,11.19561930593803,783.0216415903607,805.1330033861158,11.251597402467718,22.1113617957551,2.8238506602251365,5.0,1.4369459035148882,349.65683652195617,100.0,1.5,90.43186770911336,Rapido y rentable,2025-03-12,2025-03-17,capture_score,805.1330033861158,805.1330033861158
2025-03-14,2025-03-18,DIN,"Dine Brands Global, Inc.",Stock,NYSE,24.90999984741211,25.32999992370605,0.51,29.689255628693044,739.5593531805229,767.1703631803176,15.141520370633453,27.61100999979476,3.7334407145351927,4.0,2.0473705464634264,249.0967498197169,100.0,3.0,90.17470970531664,Rapido y rentable,2025-03-14,2025-03-18,capture_score,767.1703631803176,767.1703631803176
2025-03-17,2025-03-19,HBAN,HUNTINGTON BANCSHARES INC /MD/,Stock,Nasdaq,14.899999618530272,14.970000267028809,0.155,54.03577342276024,805.1330033861158,817.2910874483568,8.375544880527837,12.158084062241073,1.5100715050939788,2.0,1.0402684830087876,108.48514179948786,100.0,3.5,89.51492322622923,Rapido y rentable,2025-03-17,2025-03-19,capture_score,817.2910874483568,817.2910874483568
2025-03-18,2025-03-19,FCTE,SMI 3Fourteen Full-Cycle Trend ETF,ETF/Fund,,25.43000030517578,25.729999542236328,0.02365,30.167925834596826,767.1703631803176,776.934189360384,0.713471445988215,9.763826180066417,1.2727063829199958,1.0,0.09300039212027261,33.945143123899506,100.0,1.0,89.7906520331332,Rapido y rentable,2025-03-18,2025-03-19,capture_score,1594.225276808741,1594.225276808741
2025-03-19,2025-03-24,KLIC,KULICKE & SOFFA INDUSTRIES INC,Stock,Nasdaq,36.4900016784668,36.5099983215332,0.205,21.844686263052616,797.1126384043705,802.0276194823962,4.478160683925786,4.914981078025676,0.6165980617073512,5.0,0.5617977269674203,68.35205678103613,100.0,3.0,89.1510877366759,Rapido y rentable,2025-03-19,2025-03-24,capture_score,802.0276194823962,802.0276194823962
2025-03-19,2025-03-31,SRE,SEMPRA,Stock,NYSE,71.08999633789062,71.36000061035156,0.645,11.212725832980713,797.1126384043705,807.3723304474809,7.23220816227256,10.259692043110363,1.287106934303265,12.0,0.9073006516054891,132.46589513440142,100.0,2.5,88.84583164994207,Rapido y rentable,2025-03-19,2025-03-31,capture_score,807.3723304474809,807.3723304474809
2025-03-24,2025-03-26,TSLS,Direxion Daily TSLA Bear 1X ETF,ETF/Fund,,1054.0,1066.0,0.07555,0.76093702038178,802.0276194823962,811.2163525188673,0.05748879188984349,9.188733036471149,1.1456878557874695,2.0,0.007167931688804555,1.7441967109424417,100.0,1.5,89.56625294813857,Rapido y rentable,2025-03-24,2025-03-26,capture_score,811.2163525188673,811.2163525188673
2025-03-26,2025-03-28,ISBA,ISABELLA BANK CORP,Stock,Nasdaq,23.020000457763672,23.600000381469727,0.28,35.23963233655273,811.2163525188673,841.5224336397322,9.867097054234765,30.30608112086486,3.735881436162247,2.0,1.2163335987492037,443.9617635434593,100.0,1.0,89.86272120192885,Rapido y rentable,2025-03-26,2025-03-28,capture_score,841.5224336397322,841.5224336397322
