dimension,segment,tickers,events,avg_recovery_rate_pct,avg_success_30d_pct,median_recovery_days,avg_dividend_yield_pct,avg_expected_tae_pct,avg_capture_score,top_ticker
sector,3910,1,2,100.0,100.0,5.0,11.061946949334049,807.5221273013856,98.5,BRLT
sector,5912,1,6,100.0,100.0,1.0,0.9752019661346831,355.94871763915927,90.43488966932073,CVS
sector,5400,1,4,100.0,100.0,1.0,0.6083446171206366,222.04578524903235,90.30834461712064,DNUT
sector,5094,1,6,100.0,100.0,1.0,0.6847560083532062,249.93594304892022,90.14444371153925,GOLD
sector,3562,1,6,100.0,100.0,1.0,0.40726468615563355,148.65161044680625,90.02980501923147,TKR
sector,700,1,6,100.0,100.0,2.0,0.8006900878807791,146.1259410382422,89.89085142018419,CVGW
sector,5700,1,6,100.0,100.0,1.0,0.3694597130092907,134.85279524839112,89.88574798230056,WSM
sector,5531,1,6,100.0,100.0,1.5,0.5457729187848331,132.80474357097606,89.78472629848491,AAP
sector,3050,1,6,100.0,100.0,1.0,0.1422709750960851,51.92890591007106,89.7810337315265,NPO
sector,3524,1,6,100.0,100.0,2.0,0.4882362655937786,89.10311847086459,89.6241340126689,TTC
sector,7381,2,10,100.0,100.0,2.75,0.5602931337366971,149.0261734721629,89.24490890210811,ADT
sector,4899,2,24,100.0,100.0,2.5,0.8513969433957082,166.02924700351815,89.23320496032827,CCOI
sector,3678,2,12,100.0,100.0,2.5,0.6565607051935174,114.17598083374159,89.20818269686069,MEI
sector,3579,1,6,100.0,100.0,4.5,0.7395292822100529,59.984041779259854,89.16873526055187,PBI
sector,5171,2,18,100.0,100.0,3.25,0.8604875663108522,82.72287395716987,89.09290060839062,GLP
sector,2100,1,6,100.0,100.0,2.5,0.09448202281496919,13.794375330985504,89.0651972219396,TPB
sector,6153,2,20,100.0,100.0,4.0,0.9664722899156748,92.92085938684743,89.00256824425485,JCAP
sector,200,1,12,100.0,100.0,6.5,1.6654168929422346,93.51956398829472,88.99509499520231,CALM
sector,3211,1,3,100.0,100.0,3.0,0.2508079290055419,30.514964695674262,88.97331620724201,TGLS
sector,2060,3,18,100.0,100.0,5.0,0.9569387804292192,75.99426393191021,88.92051797678847,JBSS
sector,1389,9,48,100.0,95.37037037037038,2.0,0.4732201549022629,100.10017004532996,88.91382185753012,RNGR
sector,2711,2,12,100.0,100.0,1.75,0.33709966880094977,70.59855866781912,88.91198851833998,NWSA
sector,3873,1,6,100.0,100.0,6.0,1.787903467441023,108.76412760266224,88.9086676266722,MOV
sector,8082,1,6,100.0,100.0,3.0,0.11952118843537544,14.54174459297068,88.88523089542643,CHE
sector,2891,2,12,100.0,100.0,3.0,0.24436589981674856,31.546672376456954,88.8073530191203,CSW
sector,4011,5,41,100.0,100.0,4.0,0.4506077044738208,49.772950088661176,88.7923665281181,CSX
sector,3711,5,38,100.0,100.0,3.0,0.5644487084664941,83.17928115948487,88.72530725325961,F
sector,8200,3,30,100.0,100.0,2.5,0.46168269442512794,45.1927703361529,88.70725528054489,PRDO
sector,5180,1,12,100.0,100.0,1.0,0.494129232269566,180.35716977839158,88.65464880043551,MGPI
sector,2990,1,6,100.0,100.0,2.5,0.3908296597066559,57.06113031717175,88.58548611374638,KWR
sector,4522,1,2,100.0,100.0,5.0,0.2920274128408422,21.31800113738148,88.57989537848488,VTOL
sector,6552,1,6,100.0,100.0,2.0,0.2723157449676466,49.6976234565955,88.50784161472687,JOE
sector,7997,1,12,100.0,100.0,4.5,0.22096142785850348,17.92242692630084,88.49077008847075,OSW
sector,8051,2,16,100.0,100.0,4.0,0.28219896824266427,21.556157246384227,88.48950104988978,ENSG
sector,6029,3,28,100.0,100.0,1.5,0.4631092539665819,50.36490736358769,88.43541514441937,ESQ
sector,8734,1,6,100.0,100.0,3.0,0.18266523235047472,22.22426993597442,88.36778819143186,ULS
sector,3720,1,6,100.0,100.0,4.0,0.024002926530062214,2.190267045868177,88.21840404938446,TXT
